k,Good points,Perimeter,circle perimeter,Naive perimeter,Configs computed,Max angle of sol,Longest edge len,Running time in seconds
2835,1395,187.44077127966355,187.90923288887893,188.74761108874532,633728,0.24497866312686423,11,0.631255064
2836,1396,187.47994331421427,187.92092760731168,188.7808969740387,635020,0.3217505543966423,12,0.641476032
2837,1397,187.51456159699495,187.93262232574443,188.8141769913927,636305,0.24497866312686423,11,0.636647661
2838,1398,187.54512654720543,187.948879309039,188.84745114390964,637525,0.24497866312686423,11,0.645178738
2839,1399,187.58429858175614,187.96513629233357,188.88071943468896,638747,0.3217505543966423,12,0.629517514
2840,1399,187.61891686453686,187.98139327562814,188.91398186682756,639438,0.24497866312686423,12,0.642008054
2841,1399,187.6580888990876,187.9976502589227,188.94723844341945,640182,0.3217505543966423,12,0.643846484
2842,1399,187.6927071818683,188.01390724221727,188.98048916755604,640866,0.24497866312686423,11,0.648711227
2843,1399,187.72327213207873,188.03016422551184,189.01373404232595,641561,0.24497866312686423,11,0.644965125
2844,1400,187.75053570306085,188.0464212088064,189.04697307081508,642848,0.24497866312686423,10,0.654504366
2845,1401,187.77462181508574,188.06267819210095,189.0802062561067,644149,0.24497866312686423,10,0.647095276
2846,1402,187.81379384963645,188.10703069560412,189.11343360128123,644379,0.3217505543966423,11,0.653180221
2847,1403,187.84841213241717,188.1513831991073,189.1466551094165,644446,0.24497866312686423,11,0.639505574
2848,1402,187.88758416696788,188.16456402964099,189.17987078358766,644317,0.3217505543966423,12,0.659002203
2849,1401,187.92220244974857,188.1777448601746,189.21308062686703,644238,0.24497866312686423,11,0.651689008
2850,1401,187.95276739995904,188.2123631429553,189.24628464232433,644943,0.24497866312686423,11,0.633856828
2851,1401,187.99193943450976,188.24698142573595,189.27948283302658,645658,0.3217505543966423,12,0.661282929
