k,Area,Configs computed,DP duration,Longest edge len,Longest primitive edge len,Max angle of sol,Naive perimeter,Perimeter,Running time in seconds,UB max turn_angle,UB primitive edge len,boundary grid points,circle perimeter,vertices
5502,5434.5,868995,0.339789652,13.0,5.0990195135927845,0.24497866312686423,262.945186531726,261.7874329927592,0.555286218,0.533864363808561,11,133,261.86249488765776,40
5503,5435.0,869920,0.33930887,12.0,5.0990195135927845,0.24497866312686423,262.96908086468744,261.811519104784,0.555110781,0.5338320240723656,11,134,261.88225972549486,40
5504,5435.5,869767,0.336746349,13.0,5.0990195135927845,0.24497866312686423,262.99297302671965,261.8356052168089,0.551991351,0.5337996921708831,11,135,261.9020245633319,40
5505,5436.0,870653,0.36776113,13.0,5.0990195135927845,0.24497866312686423,263.0168630184142,261.8596913288338,0.584871996,0.5337673681007925,11,136,261.921789401169,40
5506,5436.5,869305,0.362404911,12.0,5.0990195135927845,0.24497866312686423,263.04075084036236,261.88377744085864,0.577237435,0.5337350518587748,11,137,261.94675482774085,40
5507,5437.0,867769,0.36210397,14.0,5.0990195135927845,0.24497866312686423,263.0646364931553,261.9078635528835,0.576431338,0.5337027434415132,11,138,261.97172025431263,40
5508,5437.5,868580,0.348291509,12.0,4.123105625617661,0.24497866312686423,263.0885199773839,261.93194966490836,0.563244999,0.5336704428456925,11,139,261.99668568088447,40
5509,5439.0,867890,0.351835367,14.0,5.0990195135927845,0.24497866312686423,263.1124012936385,261.95756775819007,0.565999031,0.5336381500679999,11,138,262.02165110745625,40
5510,5439.5,866811,0.360789365,12.0,5.0990195135927845,0.24497866312686423,263.1362804425096,261.9816538702149,0.576278326,0.5336058651051243,11,139,262.04661653402803,40
5511,5440.0,866045,0.342124023,15.0,4.123105625617661,0.24497866312686423,263.160157424587,262.0057399822398,0.55730422,0.5335735879537569,11,140,262.0715819605998,40
5512,5445.0,865948,0.331220009,12.0,5.0990195135927845,0.24497866312686423,263.1840322404605,262.03007367987846,0.546471585,0.5335413186105905,11,132,262.09654738717165,40
5513,5445.5,864332,0.354832937,12.0,5.0990195135927845,0.24497866312686423,263.20790489071965,262.0541597919033,0.569605546,0.5335090570723204,11,133,262.12151281374344,40
5514,5446.0,865097,0.343568892,13.0,5.0990195135927845,0.24497866312686423,263.2317753759536,262.0782459039282,0.560235023,0.5334768033356435,11,134,262.1606848482941,40
5515,5446.5,865919,0.344160655,12.0,5.0990195135927845,0.24497866312686423,263.25564369675124,262.1023320159531,0.562407352,0.5334445573972589,11,135,262.1998568828448,40
5516,5447.0,865877,0.351568309,13.0,5.0990195135927845,0.24497866312686423,263.2795098537013,262.12641812797796,0.566927932,0.5334123192538676,11,136,262.23902891739556,40
5517,5447.5,865830,0.354143127,12.0,5.0990195135927845,0.24497866312686423,263.30337384739215,262.1505042400028,0.5709018,0.5333800889021727,11,137,262.2782009519463,40
5518,5448.0,865778,0.343062695,13.0,4.123105625617661,0.24497866312686423,263.32723567841197,262.1745903520277,0.557904452,0.533347866338879,11,138,262.317372986497,40
5519,5449.5,865732,0.349125356,10.0,5.0990195135927845,0.24497866312686423,263.3510953473486,262.2002084453094,0.566123377,0.5333156515606937,11,137,262.35654502104774,40
5520,5450.0,866551,0.356106005,12.0,5.0990195135927845,0.24497866312686423,263.37495285478957,262.22429455733425,0.571142969,0.5332834445643257,11,138,262.3957170555985,40
5521,5450.5,867357,0.339424141,13.0,4.123105625617661,0.24497866312686423,263.3988082013223,262.2483806693591,0.555472399,0.5332512453464859,11,139,262.4348890901492,40
5522,5452.0,856653,0.358009027,13.0,5.0990195135927845,0.24497866312686423,263.4226613875339,262.2739987626408,0.573329547,0.5332190539038877,11,138,262.54565936642405,40
5523,5452.5,864617,0.346678077,10.0,5.0990195135927845,0.24497866312686423,263.4465124140111,262.2980848746657,0.563618692,0.5331868702332455,11,139,262.65642964269887,40
5524,5453.0,851450,0.335196549,14.0,4.123105625617661,0.24497866312686423,263.47036128134044,262.32217098669054,0.552978326,0.5331546943312765,11,140,262.7671999189737,40
5525,5461.0,838921,0.322948657,9.0,5.0990195135927845,0.19739555984988158,263.49420799010824,262.34403657141115,0.538292786,0.5331225261946996,11,126,262.8779701952485,40
5526,5461.5,839752,0.33237401,10.0,5.0990195135927845,0.24497866312686423,263.5180525409005,262.368122683436,0.548319749,0.5330903658202357,11,127,262.8848428054097,40
5527,5462.5,840572,0.354344566,11.0,5.0990195135927845,0.19739555984988158,263.5418949343029,262.3887668358201,0.569741217,0.5330582132046078,11,127,262.8917154155708,40
5528,5463.0,841365,0.342931551,12.0,5.0990195135927845,0.24497866312686378,263.56573517090095,262.41285294784495,0.558541496,0.5330260683445402,11,128,262.9114802534079,40
5529,5464.0,842185,0.339291806,6.0,5.0990195135927845,0.19739555984988158,263.5895732512799,262.4334971002289,0.556377068,0.5329939312367604,11,128,262.931245091245,40
5530,5464.5,841569,0.348656186,6.0,5.0990195135927845,0.24497866312686423,263.61340917602473,262.4575832122538,0.565610358,0.532961801877997,11,129,262.9510099290821,40
5531,5465.5,842404,0.333124107,11.0,5.0990195135927845,0.19739555984988158,263.63724294572,262.47822736463786,0.549065241,0.5329296802649806,11,129,262.9707747669192,40
5532,5466.0,842432,0.35272029,12.0,5.0990195135927845,0.24497866312686378,263.6610745609502,262.5023134766627,0.569340836,0.532897566394444,11,130,262.9776473770803,40
5533,5467.0,842448,0.340953391,11.0,5.0990195135927845,0.19739555984988158,263.6849040222995,262.52295762904674,0.556958572,0.5328654602631219,11,130,262.98451998724147,40
5534,5467.5,842466,0.341101875,12.0,5.0990195135927845,0.24497866312686378,263.7087313303518,262.5470437410716,0.557233956,0.5328333618677509,11,131,262.99139259740264,40
5535,5468.5,842494,0.334630299,11.0,5.0990195135927845,0.19739555984988158,263.7325564856907,262.5676878934556,0.549945316,0.5328012712050698,11,131,262.99826520756375,40
5536,5469.0,842226,0.343354031,12.0,5.0990195135927845,0.24497866312686378,263.75637948889954,262.5917740054805,0.558393526,0.5327691882718193,11,132,263.01803004540085,40
5537,5469.5,843103,0.33887913,13.0,5.0990195135927845,0.24497866312686378,263.78020034056146,262.61586011750535,0.555254052,0.5327371130647417,11,133,263.03779488323795,40
5538,5470.0,842312,0.333622223,13.0,5.0990195135927845,0.24497866312686423,263.80401904125927,262.6399462295302,0.549416978,0.5327050455805816,11,134,263.057559721075,40
5539,5470.5,843119,0.331231856,13.0,5.0990195135927845,0.24497866312686423,263.8278355915756,262.6640323415551,0.548046496,0.5326729858160855,11,135,263.0773245589121,40
5540,5471.0,843968,0.351023105,13.0,5.0990195135927845,0.24497866312686423,263.85164999209275,262.68811845358,0.568008019,0.5326409337680019,11,136,263.08419716907326,40
5541,5471.5,844807,0.333438546,13.0,5.0990195135927845,0.24497866312686423,263.8754622433927,262.71220456560485,0.550740327,0.532608889433081,11,137,263.0910697792344,40
5542,5472.0,845608,0.337393208,11.0,5.0990195135927845,0.24497866312686423,263.89927234605733,262.7362906776297,0.553243211,0.5325768528080755,11,138,263.09987984280133,40
5543,5472.5,846426,0.335650545,13.0,4.123105625617661,0.24497866312686423,263.92308030066806,262.7603767896546,0.554015793,0.5325448238897394,11,139,263.1086899063682,40
5544,5474.0,849645,0.345545296,14.0,5.0990195135927845,0.24497866312686423,263.9468861078063,262.7859948829363,0.562735615,0.5325128026748291,11,138,263.15764755138275,40
5545,5474.5,852918,0.345904978,13.0,5.0990195135927845,0.24497866312686423,263.97068976805286,262.81008099496114,0.564269041,0.5324807891601028,11,139,263.2066051963973,40
5546,5475.0,856175,0.358626952,11.0,4.123105625617661,0.24497866312686423,263.99449128198864,262.834167106986,0.576226959,0.5324487833423205,11,140,263.25556284141175,40
5547,5476.5,861904,0.343263465,11.0,5.0990195135927845,0.24497866312686423,264.01829065019405,262.8597852002677,0.562832772,0.5324167852182445,11,139,263.30452048642627,40
5548,5477.0,861924,0.335441729,15.0,5.0990195135927845,0.24497866312686423,264.0420878732493,262.8838713122925,0.55748661,0.532384794784639,11,140,263.3133305499932,40
5549,5477.5,861968,0.344512432,14.0,4.123105625617661,0.24497866312686423,264.06588295173435,262.90795742431743,0.564599399,0.5323528120382695,11,141,263.3221406135601,40
5550,5485.5,861991,0.343650737,11.0,5.0990195135927845,0.19739555984988158,264.08967588622886,262.92982300903805,0.561947689,0.5323208369759043,11,127,263.330950677127,40
5551,5486.0,862007,0.364025996,12.0,5.0990195135927845,0.24497866312686378,264.1134666773123,262.9539091210629,0.582315126,0.5322888695943131,11,128,263.339760740694,40
5552,5487.0,865443,0.348688841,11.0,5.0990195135927845,0.19739555984988158,264.1372553255639,262.974553273447,0.568313744,0.5322569098902679,11,128,263.3887183857085,40
5553,5487.5,871491,0.35611654,12.0,5.0990195135927845,0.24497866312686378,264.16104183156244,262.99863938547185,0.577521754,0.5322249578605422,11,129,263.43767603072297,40
5554,5488.5,875049,0.342370426,7.0,5.0990195135927845,0.19739555984988158,264.18482619588667,263.0192835378558,0.563040009,0.532193013501912,11,129,263.4866336757375,40
5555,5489.0,878746,0.364128948,7.0,5.0990195135927845,0.24497866312686423,264.2086084191149,263.0433696498807,0.584893307,0.5321610768111547,11,130,263.535591320752,40
5556,5490.0,879653,0.380165911,10.0,5.0990195135927845,0.19739555984988158,264.2323885018253,263.06401380226475,0.602227142,0.5321291477850499,11,130,263.544401384319,40
5557,5490.5,880571,0.350026159,11.0,5.0990195135927845,0.24497866312686423,264.2561664445958,263.0880999142896,0.571465112,0.532097226420379,11,131,263.55321144788593,40
5558,5491.5,881112,0.361661413,10.0,5.0990195135927845,0.19739555984988158,264.2799422480039,263.10874406667364,0.582323317,0.5320653127139259,11,131,263.57464890013296,40
5559,5492.0,881835,0.357487942,10.0,5.0990195135927845,0.24497866312686423,264.303715912627,263.1328301786985,0.578897563,0.5320334066624752,11,132,263.59608635238,40
5560,5493.0,880510,0.36219465,11.0,5.0990195135927845,0.19739555984988158,264.32748743904216,263.1534743310825,0.58312279,0.5320015082628148,11,132,263.6067537104985,40
5561,5493.5,879458,0.357250348,12.0,5.0990195135927845,0.24497866312686378,264.35125682782626,263.1775604431074,0.57928763,0.5319696175117334,11,133,263.617421068617,40
5562,5494.0,878117,0.363720183,12.0,5.0990195135927845,0.24497866312686423,264.3750240795558,263.20164655513224,0.585122614,0.5319377344060225,11,134,263.6280884267354,40
5563,5494.5,877226,0.362509916,13.0,5.0990195135927845,0.24497866312686423,264.39878919480714,263.22573266715716,0.583451889,0.5319058589424752,11,135,263.6387557848539,40
5564,5495.0,877246,0.352313733,13.0,5.0990195135927845,0.24497866312686423,264.42255217415635,263.249818779182,0.574241368,0.5318739911178861,11,136,263.66019323710094,40
5565,5495.5,877286,0.358548973,13.0,5.0990195135927845,0.24497866312686423,264.4463130181792,263.2739048912069,0.580360953,0.5318421309290524,11,137,263.68163068934797,40
5566,5496.0,877321,0.36390052,11.0,5.0990195135927845,0.24497866312686423,264.4700717274511,263.29799100323174,0.584075645,0.5318102783727728,11,138,263.703068141595,40
5567,5496.5,877332,0.350878722,13.0,5.0990195135927845,0.24497866312686423,264.49382830254757,263.32207711525666,0.572265583,0.5317784334458481,11,139,263.724505593842,40
5568,5497.0,877353,0.348884073,11.0,4.123105625617661,0.24497866312686423,264.51758274404347,263.34616322728147,0.569890094,0.5317465961450807,11,140,263.73517295196046,40
5569,5498.5,876244,0.340611025,14.0,5.0990195135927845,0.24497866312686423,264.54133505251355,263.3717813205632,0.56975768,0.5317147664672753,11,139,263.74584031007896,40
5570,5499.0,873953,0.350885781,11.0,5.0990195135927845,0.24497866312686423,264.5650852285324,263.39586743258803,0.570036416,0.5316829444092386,11,140,263.75650766819746,40
5571,5499.5,872167,0.363606917,14.0,4.123105625617661,0.24497866312686423,264.58883327267415,263.4199535446129,0.582879566,0.5316511299677786,11,141,263.76717502631595,40
5572,5501.0,873167,0.361064649,14.0,5.0990195135927845,0.24497866312686423,264.61257918551286,263.4455716378946,0.582237036,0.5316193231397058,11,140,263.788612478563,40
5573,5501.5,874337,0.368993945,15.0,5.0990195135927845,0.24497866312686423,264.6363229676222,263.4696577499194,0.589998924,0.5315875239218324,11,141,263.81004993081,40
5574,5502.0,875165,0.34001138,14.0,4.123105625617661,0.24497866312686423,264.6600646195758,263.4937438619443,0.561461246,0.5315557323109724,11,142,263.82174464924276,40
5575,5503.5,876013,0.362887985,14.0,5.0990195135927845,0.24497866312686423,264.68380414194667,263.51936195522603,0.586241221,0.531523948303942,11,141,263.8334393676755,40
5576,5504.0,876039,0.365796782,14.0,5.0990195135927845,0.24497866312686423,264.7075415353079,263.5434480672509,0.587634824,0.5314921718975589,11,142,263.8451340861082,40
5577,5504.5,876062,0.357465626,8.0,4.123105625617661,0.24497866312686423,264.7312768002321,263.56753417927575,0.577878291,0.531460403088643,11,143,263.85682880454095,40
5578,5506.0,876077,0.348764594,15.0,5.0990195135927845,0.24497866312686423,264.75500993729173,263.5931522725574,0.569602449,0.531428641874016,11,142,263.8685235229737,40
5579,5506.5,876108,0.340955145,14.0,5.0990195135927845,0.24497866312686423,264.7787409470591,263.6172383845823,0.562588209,0.5313968882505014,11,143,263.88021824140645,40
5580,5507.0,877026,0.368703909,8.0,4.123105625617661,0.24497866312686423,264.80246983010596,263.6413244966072,0.590336205,0.5313651422149249,11,144,263.8919129598392,40
5581,5508.5,877968,0.343529828,15.0,5.0990195135927845,0.24497866312686423,264.8261965870041,263.66694258988883,0.565603937,0.5313334037641139,11,143,263.90360767827195,40
5582,5509.0,877437,0.343982326,15.0,5.0990195135927845,0.24497866312686423,264.8499212183249,263.6910287019137,0.566012437,0.5313016728948975,11,144,263.91678850880567,40
5583,5509.5,876773,0.359025319,15.0,4.123105625617661,0.24497866312686423,264.87364372463946,263.71511481393856,0.583849269,0.5312699496041071,11,145,263.92996933933927,40
5584,5516.5,876616,0.358493973,12.0,5.0990195135927845,0.19739555984988158,264.89736410651886,263.7392607687094,0.581020513,0.5312382338885757,11,133,263.9431501698729,40
5585,5517.0,875910,0.341292276,13.0,5.0990195135927845,0.24497866312686378,264.92108236453356,263.76334688073433,0.566252628,0.5312065257451383,11,134,263.9563310004066,40
5586,5517.5,875917,0.364595819,14.0,5.0990195135927845,0.24497866312686423,264.9447984992541,263.7874329927592,0.589384923,0.5311748251706317,11,135,263.96951183094023,40
5587,5518.0,875227,0.352011293,14.0,5.0990195135927845,0.24497866312686423,264.9685125112505,263.81151910478405,0.577088629,0.5311431321618948,11,136,263.9826926614739,40
5588,5518.5,875037,0.341139191,14.0,5.0990195135927845,0.24497866312686423,264.99222440109264,263.8356052168089,0.566902783,0.5311114467157682,11,137,263.99587349200755,40
5589,5519.0,874559,0.351285582,14.0,5.0990195135927845,0.24497866312686423,265.0159341693503,263.85969132883383,0.577320158,0.5310797688290941,11,138,264.00905432254115,40
5590,5519.5,875395,0.354739346,12.0,5.0990195135927845,0.24497866312686423,265.03964181659273,263.88377744085864,0.581437689,0.5310480984987174,11,139,264.0253113058357,40
5591,5520.0,876203,0.353077906,14.0,5.0990195135927845,0.24497866312686423,265.0633473433891,263.90786355288355,0.579412519,0.531016435721484,11,140,264.0415682891303,40
5592,5520.5,874919,0.347757863,12.0,4.123105625617661,0.24497866312686423,265.0870507503082,263.93194966490836,0.573928142,0.5309847804942424,11,141,264.0665337157021,40
5593,5522.0,873382,0.354665809,15.0,5.0990195135927845,0.24497866312686423,265.11075203791876,263.95756775819007,0.580692706,0.5309531328138423,11,140,264.0914991422739,40
5594,5522.5,873388,0.356417555,12.0,5.0990195135927845,0.24497866312686423,265.13445120678904,263.9816538702149,0.582557944,0.5309214926771358,11,141,264.11646456884574,40
5595,5523.0,871832,0.356592718,15.0,4.123105625617661,0.24497866312686423,265.1581482574872,264.0057399822398,0.582085615,0.5308898600809768,11,142,264.1414299954175,40
5596,5528.0,871844,0.362343404,14.0,5.0990195135927845,0.24497866312686423,265.1818431905811,264.0300736798785,0.589004877,0.5308582350222208,11,134,264.1576869787121,40
5597,5528.5,871816,0.356790858,14.0,5.0990195135927845,0.24497866312686423,265.2055360066382,264.0541597919034,0.582639666,0.5308266174977254,11,135,264.17394396200666,40
5598,5529.0,871812,0.364274783,14.0,5.0990195135927845,0.24497866312686423,265.22922670622603,264.07824590392823,0.590375507,0.53079500750435,11,136,264.1902009453012,40
5599,5529.5,871788,0.353342827,14.0,5.0990195135927845,0.24497866312686423,265.2529152899116,264.1023320159531,0.588520051,0.5307634050389559,11,137,264.2064579285958,40
5600,5530.0,870910,0.356668503,14.0,5.0990195135927845,0.24497866312686423,265.2766017582617,264.12641812797796,0.583888497,0.5307318100984064,11,138,264.23142335516764,40
5601,5530.5,869271,0.350543125,13.0,5.0990195135927845,0.24497866312686423,265.3002861118429,264.1505042400029,0.575621246,0.5307002226795663,11,139,264.2563887817394,40
5602,5531.0,868702,0.35337419,14.0,4.123105625617661,0.24497866312686423,265.32396835122165,264.1745903520277,0.579090236,0.5306686427793025,11,140,264.28135420831126,40
5603,5532.5,867142,0.352842354,11.0,5.0990195135927845,0.24497866312686423,265.34764847696397,264.2002084453094,0.576623324,0.5306370703944839,11,139,264.30631963488304,40
5604,5533.0,868062,0.349399559,14.0,5.0990195135927845,0.24497866312686423,265.37132648963563,264.22429455733425,0.575294889,0.5306055055219809,11,140,264.3225766181776,40
5605,5533.5,868970,0.341620421,14.0,4.123105625617661,0.24497866312686423,265.3950023898023,264.2483806693591,0.56674464,0.5305739481586662,11,141,264.3388336014722,40
5606,5535.0,868721,0.360294155,14.0,5.0990195135927845,0.24497866312686423,265.4186761780292,264.2739987626408,0.584243234,0.5305423983014141,11,140,264.36174865272835,40
